user_id,login,name,total_repos,total_stars_received,total_forks_received,avg_stars_per_repo,account_age_days,repos_per_year,followers,following,follower_ratio,h_index,impact_score,primary_languages,primary_language_1,language_diversity,industries_served,primary_industry,has_readme_pct,has_license_pct,total_open_issues,days_since_last_push,is_active
498448,charlesmartin14,Charles Martin,3,22,13,7.333333333333333,5587,0.1959906926794344,188,54,3.4814814814814814,2,236,"Jupyter Notebook, Ruby",Jupyter Notebook,2,1,M,1.0,0.3333333333333333,6,379,False
214755104,EzerZuniga,Ezer Benito Zuñiga chura ,13,120,13,9.23076923076923,284,16.70774647887324,12,3,4.0,9,158,"TypeScript, Astro, Blade",TypeScript,9,7,I,1.0,0.9230769230769231,8,1,True
20654016,HLena,Elena Gordillo Viña,1,1,0,1.0,3519,0.10372264847968173,28,32,0.875,1,29,Java,Java,1,1,Q,1.0,0.0,0,2313,False
164355095,Jeremyvc2202,Jeremy Villacrez,4,8,0,2.0,724,2.016574585635359,1,1,1.0,2,9,"C++, CSS, Kotlin",C++,3,4,S,0.25,0.0,0,152,False
6383593,ricjuanflores,Juan Flores,1,8,2,8.0,4444,0.08213321332133214,4,4,1.0,1,16,Python,Python,1,1,J,1.0,1.0,2,416,False
24356603,goandreus,Andres Chavez,22,53,6,2.409090909090909,3389,2.3694305104750666,555,1338,0.4147982062780269,3,620,"Dart, Go, Rust",Dart,5,3,J,0.9545454545454546,0.045454545454545456,4,935,False
32233200,Mars-tin,Martin Ziqiao Ma,7,247,10,35.285714285714285,3094,0.82579185520362,228,102,2.235294117647059,5,495,"Python, HTML, Jupyter Notebook",Python,3,3,M,1.0,0.2857142857142857,1,166,False
73418962,Elcornevic,Victor Guillermo Cornejo Villanueva,1,2,0,2.0,1967,0.18556176919166242,3,0,3.0,1,5,R,R,1,1,M,1.0,1.0,0,892,False
50345067,alexRai98,Rai,4,11,0,2.75,2504,0.5830670926517572,6,4,1.5,2,17,"CSS, Ruby, HTML",CSS,4,3,J,0.75,0.0,33,1142,False
427535,dcmartin,DC Martin,7,18,4,2.5714285714285716,5640,0.4530141843971631,64,26,2.4615384615384617,3,90,"Shell, Python, JavaScript",Shell,3,4,I,1.0,1.0,1,998,False
47969,nicolas-mosconi,Nicolas Mosconi,2,8,0,4.0,6263,0.11655756027462877,7,0,7.0,2,15,C++,C++,1,2,M,0.5,0.0,0,6066,False
5052489,imarpe,Instituto del Mar del Perú,3,5,3,1.6666666666666667,4621,0.236961696602467,7,0,7.0,1,18,"R, Smarty",R,2,2,A,1.0,0.0,5,2047,False
11188092,jasminejeane,Jasmine Martin,1,6,3,6.0,4036,0.0904360753221011,27,4,6.75,1,39,JavaScript,JavaScript,1,1,G,1.0,0.0,0,2609,False
11514837,TenKenZero,Lenin Carrasco,1,2,1,2.0,4016,0.09088645418326693,2,1,2.0,1,6,Python,Python,1,1,Q,1.0,1.0,1,243,False
14082070,neunapp,Neunapp,20,42,31,2.1,3847,1.8975825318429946,60,1,60.0,4,164,"Python, CSS, Vue",Python,6,2,J,0.85,0.0,14,529,False
7337141,dcyar,Jhon Achata Limachi,9,25,11,2.7777777777777777,4349,0.7553460565647275,22,2,11.0,2,69,"PHP, Java, Astro",PHP,4,3,J,0.7777777777777778,0.1111111111111111,0,801,False
90013732,ALYA-MIKAEL,Valeria Saidid Miranda Ibarra,2,2,1,1.0,1654,0.441354292623942,5,11,0.45454545454545453,1,9,Python,Python,1,1,J,0.5,0.0,0,314,False
130936574,AliKnows,AliKnows,5,5,0,1.0,1063,1.7168391345249294,39,137,0.2846715328467153,1,44,"HTML, Java, JavaScript",HTML,3,4,J,0.4,0.0,0,178,False
17274950,giancarlosisasi,Giancarlos Isasi,8,43,10,5.375,3680,0.7934782608695653,23,22,1.0454545454545454,3,86,"TypeScript, Go, JavaScript",TypeScript,4,2,J,1.0,0.25,0,155,False
49346366,jcaramantin,Jhoan Caramantin,4,7,2,1.75,2534,0.5761641673243884,29,99,0.29292929292929293,1,40,"JavaScript, Jupyter Notebook, C#",JavaScript,4,3,J,0.75,0.25,0,715,False
1541836,dennisbot,Dennis Huillca Portilla,2,5,10,2.5,5112,0.14280125195618154,20,43,0.46511627906976744,1,45,"PHP, C++",PHP,2,2,J,1.0,0.5,1,3373,False
38089794,fastworkx,Fastworkx S.R.L.,1,16,8,16.0,2901,0.12581868321268527,0,0,0.0,1,32,PHP,PHP,1,1,J,1.0,0.0,5,1577,False
40885546,GalaxyTraining,Galaxy Training,1,2,0,2.0,2809,0.12993948024207905,53,0,53.0,1,55,C#,C#,1,1,J,0.0,0.0,0,1238,False
127633330,CrhistianAquino1984,Crhistian Aquino,2,3,1,1.5,1099,0.6642402183803457,1,3,0.3333333333333333,1,6,"HTML, JavaScript",HTML,2,1,P,0.5,0.0,0,1095,False
1307948,drmad,Oliver Etchebarne,4,95,25,23.75,5182,0.2817445001929757,29,17,1.7058823529411764,2,174,"Shell, C, PHP",Shell,4,1,J,1.0,1.0,3,550,False
50188432,Ddrojaz,DDRojas,1,3,0,3.0,2509,0.14547628537265844,1,0,1.0,1,4,JavaScript,JavaScript,1,1,J,1.0,0.0,0,1148,False
100012260,AlexSystem19,HuGod | UXDevOps.net,4,4,0,1.0,1485,0.9831649831649832,3,12,0.25,1,7,C#,C#,1,3,J,0.5,0.0,0,596,False
115769418,Jeremitc,JeremiTC,1,1,0,1.0,1248,0.2924679487179487,20,84,0.23809523809523808,1,21,C++,C++,1,1,J,1.0,0.0,0,490,False
20645536,Terrakill5,Jose Briceño,1,2,0,2.0,3520,0.10369318181818182,1,0,1.0,1,3,HTML,HTML,1,1,J,0.0,0.0,0,1274,False
58184133,Enryuk3,Cristopher Guzmán,14,19,0,1.3571428571428572,2301,2.22077357670578,19,20,0.95,1,38,"HTML, JavaScript, CSS",HTML,4,5,J,0.6428571428571429,0.07142857142857142,0,400,False
102426024,Kochq,Mateo Koch,1,3,0,3.0,1450,0.2517241379310345,4,8,0.5,1,7,Java,Java,1,1,P,1.0,0.0,0,478,False
5640041,yg-apaza,Yuliana Apaza,3,17,13,5.666666666666667,4540,0.24118942731277532,24,14,1.7142857142857142,2,67,"HTML, JavaScript, Java",HTML,3,2,J,0.6666666666666666,0.6666666666666666,11,1137,False
149842,gabetax,Gabe Martin-Dempesy,6,221,52,36.833333333333336,5972,0.3667113194909578,72,74,0.972972972972973,5,397,"Ruby, PHP",Ruby,2,3,M,1.0,0.8333333333333334,4,1065,False
115020164,seyoncito,Cesar Huamani,1,1,0,1.0,1258,0.2901430842607313,0,0,0.0,1,1,Java,Java,1,1,J,0.0,0.0,0,146,False
9202761,alfredopaz,Alfredo Paz Valderrama,6,6,0,1.0,4170,0.5251798561151079,22,0,22.0,1,28,"C, Python, TeX",C,4,1,P,0.6666666666666666,0.3333333333333333,0,191,False
5897318,jhumbertoh,Jose Hurtado,1,2,0,2.0,4508,0.08096716947648624,18,25,0.72,1,20,Java,Java,1,1,P,1.0,0.0,0,2140,False
38768001,jmayta1984,Jorge M,14,38,17,2.7142857142857144,2879,1.7749218478638416,228,19,12.0,3,300,"Kotlin, TSQL, Dart",Kotlin,6,2,J,0.14285714285714285,0.0,0,107,False
42879133,martinsam16,Martín Alexis Samán Arata,9,69,23,7.666666666666667,2752,1.1936773255813953,33,25,1.32,3,148,"Python, Java, JavaScript",Python,5,4,J,0.7777777777777778,0.2222222222222222,8,733,False
1703064,martinwells,Martin Wells,2,578,63,289.0,5063,0.144183290539206,26,6,4.333333333333333,2,730,JavaScript,JavaScript,1,2,R,1.0,0.5,3,3802,False
105665409,SalvadorSarmiento,Eduardo Salvador Araujo Sarmiento,1,1,0,1.0,1398,0.26108726752503575,1,0,1.0,1,2,,,0,1,J,1.0,0.0,0,357,False
8290696,programacionparaaprender,Programación para aprender,2,4,0,2.0,4248,0.1718455743879473,286,309,0.9255663430420712,2,290,TypeScript,TypeScript,1,1,J,1.0,0.0,0,306,False
19536044,piligab,Pilar Gabriela Serrano Quispe,1,1,0,1.0,3582,0.10189838079285315,5,0,5.0,1,6,,,0,1,J,1.0,0.0,0,2977,False
33938832,FenixLM,Felix Lamadrid,2,9,0,4.5,3033,0.240685789647214,13,5,2.6,2,22,"Python, TypeScript",Python,2,1,J,0.5,0.0,0,268,False
65608253,JosueNoha,Josue Julianz Noha Valdiva,1,1,0,1.0,2126,0.17168391345249295,29,32,0.90625,1,30,Python,Python,1,1,M,0.0,0.0,0,1181,False
64569347,gianvallejos92,Gian Vallejos,2,3,1,1.5,2145,0.34032634032634035,8,1,8.0,1,13,JavaScript,JavaScript,1,1,J,1.0,0.0,0,837,False
101891501,IngSystemCix,Juan B. Romero C.,1,6,1,6.0,1457,0.2505147563486616,7,2,3.5,1,15,CSS,CSS,1,1,P,1.0,0.0,0,1089,False
135391459,HEARELMER,Elmer,2,2,0,1.0,1016,0.718503937007874,2,3,0.6666666666666666,1,4,"Java, Python",Java,2,1,J,0.5,0.0,0,205,False
1254674,jeffrom,Jeff Martin,3,16,1,5.333333333333333,5208,0.21025345622119818,43,100,0.43,3,61,"JavaScript, Go",JavaScript,2,2,J,1.0,0.3333333333333333,12,115,False
16847375,PaulESantos,Paul Efren,29,44,3,1.5172413793103448,3704,2.8577213822894167,30,46,0.6521739130434783,3,80,"R, HTML, C++",R,4,4,M,0.896551724137931,0.6551724137931034,0,17,True
8503732,devaige,Aige,4,5509,1236,1377.25,4225,0.3455621301775148,1178,1,1178.0,3,9159,"Java, Kotlin",Java,2,2,J,1.0,0.5,66,3,True
173285566,MayaCS30,Maya,13,26,4,2.0,634,7.4842271293375395,1,2,0.5,2,35,"Python, Java, CSS",Python,5,6,P,0.07692307692307693,0.0,0,152,False
40831149,DataScienceResearchPeru,Data Science Research Peru,28,1041,318,37.17857142857143,2811,3.6357168267520454,174,0,174.0,6,1851,"Jupyter Notebook, Python, JavaScript",Jupyter Notebook,3,5,P,1.0,0.4642857142857143,22,561,False
1801446,angelolev,Angelo Leva,4,11,2,2.75,5035,0.28997020854021843,48,2,24.0,2,63,"TypeScript, Astro, JavaScript",TypeScript,3,2,J,1.0,0.0,13,16,True
300238,emedinaa,Eduardo José Medina Alfaro,24,685,134,28.541666666666668,5758,1.5213615838832928,506,761,0.6649145860709592,7,1459,"Kotlin, Java",Kotlin,2,2,J,1.0,0.25,3,1003,False
9729704,mtli,Martin Li,10,937,133,93.7,4139,0.8818555206571635,74,3,24.666666666666668,7,1277,"Python, Matlab, HTML",Python,4,2,M,1.0,1.0,10,162,False
2458287,hinantin,Hinantin,9,22,7,2.4444444444444446,4913,0.6686342357012008,7,0,7.0,3,43,"Perl, Raku, C++",Perl,6,3,M,1.0,0.3333333333333333,5,267,False
44477388,apholdings,SoloPython,42,487,158,11.595238095238095,2697,5.6840934371523915,674,0,674.0,11,1477,"Python, JavaScript, HTML",Python,6,4,J,0.38095238095238093,0.11904761904761904,6,397,False
